fpr,tpr
0.0,0.0
0.0,0.016666666666666666
0.0,0.25
0.016666666666666666,0.25
0.016666666666666666,0.38333333333333336
0.03333333333333333,0.38333333333333336
0.03333333333333333,0.6333333333333333
0.05,0.6333333333333333
0.05,0.65
0.06666666666666667,0.65
0.06666666666666667,0.7
0.08333333333333333,0.7
0.08333333333333333,0.7666666666666667
0.11666666666666667,0.7666666666666667
0.11666666666666667,0.8
0.13333333333333333,0.8
0.13333333333333333,0.8666666666666667
0.16666666666666666,0.8666666666666667
0.16666666666666666,0.9333333333333333
0.18333333333333332,0.9333333333333333
0.18333333333333332,0.95
0.25,0.95
0.25,0.9666666666666667
0.43333333333333335,0.9666666666666667
0.43333333333333335,0.9833333333333333
0.5833333333333334,0.9833333333333333
0.5833333333333334,1.0
1.0,1.0
