fpr,tpr
0.0,0.0
0.0,0.016666666666666666
0.0,0.5666666666666667
0.03333333333333333,0.5666666666666667
0.03333333333333333,0.6166666666666667
0.06666666666666667,0.6166666666666667
0.06666666666666667,0.65
0.08333333333333333,0.65
0.08333333333333333,0.6666666666666666
0.1,0.6666666666666666
0.1,0.6833333333333333
0.11666666666666667,0.6833333333333333
0.11666666666666667,0.7
0.13333333333333333,0.7
0.13333333333333333,0.75
0.15,0.75
0.15,0.7666666666666667
0.18333333333333332,0.7666666666666667
0.18333333333333332,0.7833333333333333
0.21666666666666667,0.7833333333333333
0.21666666666666667,0.8166666666666667
0.26666666666666666,0.8166666666666667
0.26666666666666666,0.85
0.3,0.85
0.3,0.8666666666666667
0.31666666666666665,0.8666666666666667
0.31666666666666665,0.9
0.36666666666666664,0.9
0.36666666666666664,0.9166666666666666
0.55,0.9166666666666666
0.55,0.9333333333333333
0.5833333333333334,0.9333333333333333
0.5833333333333334,0.9666666666666667
0.7,0.9666666666666667
0.7,0.9833333333333333
0.85,0.9833333333333333
0.85,1.0
1.0,1.0
