fpr,tpr
0.0,0.0
0.0,0.016666666666666666
0.0,0.36666666666666664
0.016666666666666666,0.36666666666666664
0.016666666666666666,0.48333333333333334
0.03333333333333333,0.48333333333333334
0.03333333333333333,0.5166666666666667
0.05,0.5166666666666667
0.05,0.6
0.06666666666666667,0.6
0.06666666666666667,0.6833333333333333
0.08333333333333333,0.6833333333333333
0.08333333333333333,0.7
0.11666666666666667,0.7
0.11666666666666667,0.75
0.13333333333333333,0.75
0.13333333333333333,0.7833333333333333
0.15,0.7833333333333333
0.15,0.85
0.16666666666666666,0.85
0.16666666666666666,0.8666666666666667
0.18333333333333332,0.8666666666666667
0.18333333333333332,0.8833333333333333
0.2,0.8833333333333333
0.2,0.9
0.31666666666666665,0.9
0.31666666666666665,0.9333333333333333
0.3333333333333333,0.9333333333333333
0.3333333333333333,0.95
0.43333333333333335,0.95
0.43333333333333335,0.9833333333333333
0.8666666666666667,0.9833333333333333
0.8666666666666667,1.0
1.0,1.0
