pipeline,window_s,outer_fold,number,value,state,params_C,params_max_pca,params_model
classical,4,5,0,-0.8736749314438458,COMPLETE,0.09454306819536169,9,svc
classical,4,5,1,-0.8993123532792886,COMPLETE,0.001434715951720141,11,logreg
classical,4,5,2,-0.881172769457932,COMPLETE,0.001136467270001117,12,svc
classical,4,5,3,-0.888186076990627,COMPLETE,0.003095566460242371,6,logreg
classical,4,5,4,-0.8747532004805209,COMPLETE,0.014648955132800727,7,svc
classical,4,5,5,-0.8921268628415016,COMPLETE,0.00614454378558747,7,logreg
classical,4,5,6,-0.8712528775439551,COMPLETE,0.0034587052147518095,9,svc
classical,4,5,7,-0.8889230856119784,COMPLETE,0.04362599362560559,6,logreg
classical,4,5,8,-0.8851430051688295,COMPLETE,0.4038423798071558,11,svc
classical,4,5,9,-0.8926913970769809,COMPLETE,0.07026263205443048,8,logreg
classical,4,5,10,-0.8983635648580504,COMPLETE,0.0010379733829293232,11,logreg
classical,4,5,11,-0.8983635648580504,COMPLETE,0.0010944814957090522,11,logreg
classical,4,5,12,-0.8976302979460012,COMPLETE,0.009299469562579763,10,logreg
classical,4,5,13,-0.9019471058675429,COMPLETE,0.0026800292459357154,12,logreg
classical,4,5,14,-0.9022207941361876,COMPLETE,0.0028535109684792,12,logreg
