Metric,Graph_Mean,Graph_Std,Graph_N,Classical_Mean,Classical_Std,Classical_N
Accuracy,0.825,0.04409585518440985,5.0,0.8466666666666667,0.09290825821445821,5.0
Balanced Acc,0.825,0.04409585518440985,5.0,0.8466666666666667,0.09290825821445818,5.0
F1,0.8147260236389402,0.05954976526660514,5.0,0.8518615749028863,0.08516015604315566,5.0
Precision,0.8564706760447125,0.03771434954933941,5.0,0.8401508660830694,0.10805396150564754,5.0
Recall,0.7833333333333333,0.10341394704992378,5.0,0.8699999999999999,0.08612007121842541,5.0
ROC AUC,0.9007222222222222,0.06633645069912945,5.0,0.8987222222222222,0.06839191256065077,5.0
AP,0.9026042116720575,0.060273974194257215,5.0,0.8840298558148995,0.07818142533208372,5.0
Macro PR,,,,,,
