pipeline,window_s,outer_fold,number,value,state,params_C,params_max_pca,params_model
classical,4,3,0,-0.747875087719342,COMPLETE,0.09454306819536169,9,svc
classical,4,3,1,-0.7232910674634234,COMPLETE,0.001434715951720141,11,logreg
classical,4,3,2,-0.7402537558357952,COMPLETE,0.001136467270001117,12,svc
classical,4,3,3,-0.7205096292398876,COMPLETE,0.003095566460242371,6,logreg
classical,4,3,4,-0.740043370374075,COMPLETE,0.014648955132800727,7,svc
classical,4,3,5,-0.7111498878972163,COMPLETE,0.00614454378558747,7,logreg
classical,4,3,6,-0.747516897135129,COMPLETE,0.0034587052147518095,9,svc
classical,4,3,7,-0.7206683857852741,COMPLETE,0.04362599362560559,6,logreg
classical,4,3,8,-0.7597934355424659,COMPLETE,0.4038423798071558,11,svc
classical,4,3,9,-0.7144972569577849,COMPLETE,0.07026263205443048,8,logreg
classical,4,3,10,-0.7561898210637649,COMPLETE,0.32921482220103365,11,svc
classical,4,3,11,-0.7609444894285206,COMPLETE,0.4714903595463137,11,svc
classical,4,3,12,-0.7599247867674906,COMPLETE,0.4445988053874651,10,svc
classical,4,3,13,-0.7576001459499931,COMPLETE,0.1787889217462799,10,svc
classical,4,3,14,-0.7705842618633495,COMPLETE,0.4866518971582877,12,svc
