recall,precision,pos_rate
0.0,1.0,0.5
0.016666666666666666,1.0,0.5
0.03333333333333333,1.0,0.5
0.05,1.0,0.5
0.06666666666666667,1.0,0.5
0.08333333333333333,1.0,0.5
0.1,1.0,0.5
0.11666666666666667,1.0,0.5
0.13333333333333333,1.0,0.5
0.15,1.0,0.5
0.16666666666666666,1.0,0.5
0.18333333333333332,1.0,0.5
0.2,1.0,0.5
0.21666666666666667,1.0,0.5
0.23333333333333334,1.0,0.5
0.25,1.0,0.5
0.26666666666666666,1.0,0.5
0.2833333333333333,1.0,0.5
0.3,1.0,0.5
0.31666666666666665,1.0,0.5
0.3333333333333333,0.9523809523809523,0.5
0.35,0.9545454545454546,0.5
0.36666666666666664,0.9565217391304348,0.5
0.38333333333333336,0.9583333333333334,0.5
0.4,0.96,0.5
0.4166666666666667,0.9615384615384616,0.5
0.43333333333333335,0.9629629629629629,0.5
0.45,0.9642857142857143,0.5
0.4666666666666667,0.9655172413793104,0.5
0.48333333333333334,0.9666666666666667,0.5
0.5,0.9090909090909091,0.5
0.5166666666666667,0.9117647058823529,0.5
0.5333333333333333,0.9142857142857143,0.5
0.55,0.9166666666666666,0.5
0.5666666666666667,0.8947368421052632,0.5
0.5833333333333334,0.8974358974358975,0.5
0.6,0.9,0.5
0.6166666666666667,0.9024390243902439,0.5
0.6333333333333333,0.9047619047619048,0.5
0.65,0.9069767441860465,0.5
0.6666666666666666,0.9090909090909091,0.5
0.6833333333333333,0.8913043478260869,0.5
0.7,0.8936170212765957,0.5
0.7166666666666667,0.86,0.5
0.7333333333333333,0.8627450980392157,0.5
0.75,0.8490566037735849,0.5
0.7666666666666667,0.8518518518518519,0.5
0.7833333333333333,0.8545454545454545,0.5
0.8,0.8571428571428571,0.5
0.8166666666666667,0.8448275862068966,0.5
0.8333333333333334,0.847457627118644,0.5
0.85,0.8360655737704918,0.5
0.8666666666666667,0.8387096774193549,0.5
0.8833333333333333,0.8412698412698413,0.5
0.9,0.84375,0.5
0.9166666666666666,0.8208955223880597,0.5
0.9333333333333333,0.7887323943661971,0.5
0.95,0.7916666666666666,0.5
0.9666666666666667,0.6744186046511628,0.5
0.9833333333333333,0.5728155339805825,0.5
1.0,0.5,0.5
