pipeline,window_s,outer_fold,number,value,state,params_C,params_max_pca,params_model
classical,4,1,0,-0.9479572534458006,COMPLETE,0.09454306819536169,9,svc
classical,4,1,1,-0.9540988798231885,COMPLETE,0.001434715951720141,11,logreg
classical,4,1,2,-0.9451555248978648,COMPLETE,0.001136467270001117,12,svc
classical,4,1,3,-0.9512977276123116,COMPLETE,0.003095566460242371,6,logreg
classical,4,1,4,-0.9472954664004393,COMPLETE,0.014648955132800727,7,svc
classical,4,1,5,-0.9564271171299774,COMPLETE,0.00614454378558747,7,logreg
classical,4,1,6,-0.9469530582745822,COMPLETE,0.0034587052147518095,9,svc
classical,4,1,7,-0.9610005580660136,COMPLETE,0.04362599362560559,6,logreg
classical,4,1,8,-0.9586310810753798,COMPLETE,0.4038423798071558,11,svc
classical,4,1,9,-0.9663927272279086,COMPLETE,0.07026263205443048,8,logreg
classical,4,1,10,-0.9513412557611133,COMPLETE,0.2315926756421898,5,logreg
classical,4,1,11,-0.9656062682312615,COMPLETE,0.05230921932581878,8,logreg
classical,4,1,12,-0.9656420643366452,COMPLETE,0.052706797734548116,8,logreg
classical,4,1,13,-0.9686054682754252,COMPLETE,0.16014574391898287,8,logreg
classical,4,1,14,-0.9673838578434997,COMPLETE,0.13871822088535832,10,logreg
