pipeline,window_s,outer_fold,number,value,state,params_C,params_max_pca,params_model
classical,4,2,0,-0.8956307996700442,COMPLETE,0.09454306819536169,9,svc
classical,4,2,1,-0.8996521454492861,COMPLETE,0.001434715951720141,11,logreg
classical,4,2,2,-0.9181422676358634,COMPLETE,0.001136467270001117,12,svc
classical,4,2,3,-0.8951334330281681,COMPLETE,0.003095566460242371,6,logreg
classical,4,2,4,-0.9040680725901419,COMPLETE,0.014648955132800727,7,svc
classical,4,2,5,-0.9042285312987263,COMPLETE,0.00614454378558747,7,logreg
classical,4,2,6,-0.8952682086162635,COMPLETE,0.0034587052147518095,9,svc
classical,4,2,7,-0.9006022479617123,COMPLETE,0.04362599362560559,6,logreg
classical,4,2,8,-0.926500018222136,COMPLETE,0.4038423798071558,11,svc
classical,4,2,9,-0.896320118848009,COMPLETE,0.07026263205443048,8,logreg
classical,4,2,10,-0.9271533545366237,COMPLETE,0.32921482220103365,11,svc
classical,4,2,11,-0.9257783130634595,COMPLETE,0.4714903595463137,11,svc
classical,4,2,12,-0.9185786901098089,COMPLETE,0.4595562421669888,10,svc
classical,4,2,13,-0.9214526971250848,COMPLETE,0.1787889217462799,12,svc
classical,4,2,14,-0.9104712894615474,COMPLETE,0.19999856494935273,10,svc
