pipeline,window_s,outer_fold,study_name,number,value,state,params_band,params_dropout,params_hid,params_out,params_s_idx,user_attrs_outer_fold,user_attrs_window_s
graph,4,3,eeg_graph_win4_fold3_20251021-071349,0,-0.8112586329829709,COMPLETE,theta,0.29818249672071007,16,8,2,3,4
graph,4,3,eeg_graph_win4_fold3_20251021-071349,1,-0.5684615792125243,COMPLETE,alpha,0.2846450412719998,12,12,0,3,4
graph,4,3,eeg_graph_win4_fold3_20251021-071349,2,-0.4751296734521106,COMPLETE,gamma,0.3058779981600017,16,12,0,3,4
graph,4,3,eeg_graph_win4_fold3_20251021-071349,3,-0.8476389924724262,COMPLETE,delta,0.31253303307632646,12,8,0,3,4
graph,4,3,eeg_graph_win4_fold3_20251021-071349,4,-0.5352217548788698,COMPLETE,alpha,0.3506857343847617,8,12,2,3,4
graph,4,3,eeg_graph_win4_fold3_20251021-071349,5,-0.6090304182409801,COMPLETE,theta,0.3272214925161949,16,12,0,3,4
graph,4,3,eeg_graph_win4_fold3_20251021-071349,6,-0.4603430564306142,COMPLETE,gamma,0.37075664739260933,16,12,1,3,4
graph,4,3,eeg_graph_win4_fold3_20251021-071349,7,-0.49703776390171805,COMPLETE,alpha,0.3339342241915651,12,12,2,3,4
graph,4,3,eeg_graph_win4_fold3_20251021-071349,8,-0.6609052108221115,COMPLETE,theta,0.3742909703912519,8,12,2,3,4
graph,4,3,eeg_graph_win4_fold3_20251021-071349,9,-0.5070266290272185,COMPLETE,gamma,0.3078646464236612,16,8,0,3,4
graph,4,3,eeg_graph_win4_fold3_20251021-071349,10,-0.6408451030430964,COMPLETE,delta,0.3279618509634565,12,8,3,3,4
graph,4,3,eeg_graph_win4_fold3_20251021-071349,11,-0.7339338595720056,COMPLETE,beta,0.28131767324633405,12,8,3,3,4
graph,4,3,eeg_graph_win4_fold3_20251021-071349,12,-0.9153551303437159,COMPLETE,delta,0.301258929108145,16,8,1,3,4
graph,4,3,eeg_graph_win4_fold3_20251021-071349,13,-0.8462384717644165,COMPLETE,delta,0.31662991032550236,12,8,1,3,4
graph,4,3,eeg_graph_win4_fold3_20251021-071349,14,-0.814384017129217,COMPLETE,delta,0.29133376372667263,8,8,1,3,4
graph,4,3,eeg_graph_win4_fold3_20251021-071349,15,-0.9161928291584189,COMPLETE,delta,0.34608557252922867,16,8,1,3,4
graph,4,3,eeg_graph_win4_fold3_20251021-071349,16,-0.9163324217760574,COMPLETE,delta,0.34920858011010586,16,8,1,3,4
graph,4,3,eeg_graph_win4_fold3_20251021-071349,17,-0.6973763383244626,COMPLETE,beta,0.3538098342126233,16,8,1,3,4
graph,4,3,eeg_graph_win4_fold3_20251021-071349,18,-0.9163702327745229,COMPLETE,delta,0.3481504647591311,16,8,1,3,4
graph,4,3,eeg_graph_win4_fold3_20251021-071349,19,-0.9161966446809707,COMPLETE,delta,0.3631817385851573,16,8,1,3,4
