recall,precision,pos_rate
0.0,1.0,0.5
0.016666666666666666,1.0,0.5
0.03333333333333333,1.0,0.5
0.05,1.0,0.5
0.06666666666666667,1.0,0.5
0.08333333333333333,1.0,0.5
0.1,1.0,0.5
0.11666666666666667,1.0,0.5
0.13333333333333333,1.0,0.5
0.15,1.0,0.5
0.16666666666666666,1.0,0.5
0.18333333333333332,1.0,0.5
0.2,1.0,0.5
0.21666666666666667,1.0,0.5
0.23333333333333334,1.0,0.5
0.25,1.0,0.5
0.26666666666666666,1.0,0.5
0.2833333333333333,1.0,0.5
0.3,1.0,0.5
0.31666666666666665,1.0,0.5
0.3333333333333333,1.0,0.5
0.35,1.0,0.5
0.36666666666666664,1.0,0.5
0.38333333333333336,1.0,0.5
0.4,1.0,0.5
0.4166666666666667,1.0,0.5
0.43333333333333335,1.0,0.5
0.45,1.0,0.5
0.4666666666666667,1.0,0.5
0.48333333333333334,1.0,0.5
0.5,1.0,0.5
0.5166666666666667,1.0,0.5
0.5333333333333333,1.0,0.5
0.55,1.0,0.5
0.5666666666666667,0.9444444444444444,0.5
0.5833333333333334,0.9459459459459459,0.5
0.6,0.9473684210526315,0.5
0.6166666666666667,0.9024390243902439,0.5
0.6333333333333333,0.9047619047619048,0.5
0.65,0.8863636363636364,0.5
0.6666666666666666,0.8695652173913043,0.5
0.6833333333333333,0.8541666666666666,0.5
0.7,0.84,0.5
0.7166666666666667,0.8431372549019608,0.5
0.7333333333333333,0.8461538461538461,0.5
0.75,0.8333333333333334,0.5
0.7666666666666667,0.8070175438596491,0.5
0.7833333333333333,0.7833333333333333,0.5
0.8,0.7868852459016393,0.5
0.8166666666666667,0.7538461538461538,0.5
0.8333333333333334,0.7575757575757576,0.5
0.85,0.7391304347826086,0.5
0.8666666666666667,0.7323943661971831,0.5
0.8833333333333333,0.7361111111111112,0.5
0.9,0.7105263157894737,0.5
0.9166666666666666,0.625,0.5
0.9333333333333333,0.6153846153846154,0.5
0.95,0.6195652173913043,0.5
0.9666666666666667,0.58,0.5
0.9833333333333333,0.5363636363636364,0.5
1.0,0.5,0.5
